13,17,21
13,12,21
13,17,15,21
13,9,12,21
13,17,12,21
13,12,22,21
13,17,22,21
13,12,17,21
13,12,15,21
13,17,15,12,21
13,12,15,22,21
13,12,17,22,21
13,17,23,22,21
13,17,12,22,21
13,9,12,22,21
13,17,15,22,21
13,12,15,20,21
13,17,15,20,21
13,12,22,17,21
13,9,12,17,21
13,12,15,17,21
13,17,22,15,21
13,12,22,15,21
13,12,11,15,21
13,17,12,15,21
13,9,12,15,21
13,12,17,15,21
13,17,22,12,21
13,17,15,11,12,21
13,12,17,15,22,21
13,9,12,15,22,21
13,17,12,15,22,21
13,12,11,15,22,21
13,12,15,17,22,21
13,9,12,17,22,21
13,12,17,23,22,21
13,17,15,12,22,21
13,12,15,14,20,21
13,12,17,15,20,21
13,9,12,15,20,21
13,17,12,15,20,21
13,12,11,15,20,21
13,12,22,15,20,21
13,17,22,15,20,21
13,17,15,14,20,21
13,12,11,15,17,21
13,12,22,15,17,21
13,9,12,22,17,21
13,12,15,22,17,21
13,12,22,23,17,21
13,9,12,15,17,21
13,17,12,11,15,21
13,9,8,11,15,21
13,17,22,12,15,21
13,9,12,17,15,21
13,12,22,17,15,21
13,9,12,22,15,21
13,17,12,22,15,21
13,17,23,22,15,21
13,12,17,22,15,21
13,9,12,11,15,21
13,9,8,11,12,21
13,17,22,15,12,21
13,17,15,22,12,21
13,17,23,22,12,21
