13,12,11
13,17,15,11
13,9,12,11
13,17,12,11
13,9,8,11
13,12,15,11
13,9,7,8,11
13,17,21,15,11
13,12,21,15,11
13,17,22,15,11
13,12,22,15,11
13,17,12,15,11
13,9,12,15,11
13,12,17,15,11
13,17,21,12,11
13,17,22,12,11
13,17,15,12,11
13,9,8,10,11
13,12,9,8,11
13,9,7,2,8,11
13,17,21,12,15,11
13,9,12,17,15,11
13,12,22,17,15,11
13,12,21,17,15,11
13,12,21,20,15,11
13,17,21,20,15,11
13,9,12,21,15,11
13,17,12,21,15,11
13,12,22,21,15,11
13,17,22,21,15,11
13,12,17,21,15,11
13,9,12,22,15,11
13,17,12,22,15,11
13,17,23,22,15,11
13,12,21,22,15,11
13,17,21,22,15,11
13,12,17,22,15,11
13,17,22,12,15,11
13,17,21,15,12,11
13,17,15,21,12,11
13,17,22,21,12,11
13,17,15,22,12,11
13,17,23,22,12,11
13,17,21,22,12,11
13,17,22,15,12,11
13,9,8,5,10,11
13,9,7,8,10,11
13,12,9,8,10,11
13,17,15,14,10,11
13,12,15,14,10,11
13,9,7,5,10,11
13,9,7,3,8,11
13,9,7,5,8,11
13,12,9,7,8,11
13,17,12,9,8,11
