17,12,9
17,13,9
17,15,12,9
17,12,13,9
17,21,12,9
17,22,12,9
17,13,12,9
17,15,11,8,9
17,22,12,13,9
17,21,12,13,9
17,15,12,13,9
17,22,15,12,9
17,15,21,12,9
17,22,21,12,9
17,15,22,12,9
17,23,22,12,9
17,21,22,12,9
17,15,11,12,9
17,21,15,12,9
17,12,11,8,9
17,15,11,8,7,9
17,15,11,12,13,9
17,21,22,12,13,9
17,23,22,12,13,9
17,15,22,12,13,9
17,22,21,12,13,9
17,15,21,12,13,9
17,22,15,12,13,9
17,21,15,12,13,9
17,21,22,15,12,9
17,23,22,15,12,9
17,22,21,15,12,9
17,23,22,21,12,9
17,15,22,21,12,9
17,15,20,21,12,9
17,22,15,21,12,9
17,21,15,22,12,9
17,15,21,22,12,9
17,21,15,11,12,9
17,22,15,11,12,9
17,21,20,15,12,9
17,15,14,10,8,9
17,12,11,10,8,9
17,21,15,11,8,9
17,21,12,11,8,9
17,22,12,11,8,9
17,13,12,11,8,9
17,15,12,11,8,9
17,22,15,11,8,9
17,12,15,11,8,9
17,15,11,10,8,9
17,12,11,8,7,9
