22,15,20
22,21,20
22,17,15,20
22,15,14,20
22,17,21,20
22,12,21,20
22,15,21,20
22,21,15,20
22,12,15,20
22,17,15,14,20
22,12,15,21,20
22,15,17,21,20
22,12,17,21,20
22,23,17,21,20
22,15,12,21,20
22,17,12,21,20
22,17,15,21,20
22,15,14,18,20
22,23,17,15,20
22,21,17,15,20
22,12,21,15,20
22,17,21,15,20
22,12,11,15,20
22,21,12,15,20
22,17,12,15,20
22,12,17,15,20
22,12,15,14,20
22,21,15,14,20
22,15,11,10,14,20
22,17,13,12,21,20
22,15,11,12,21,20
22,23,17,12,21,20
22,15,17,12,21,20
22,12,17,15,21,20
22,17,12,15,21,20
22,12,11,15,21,20
22,23,17,15,21,20
22,12,15,17,21,20
22,12,13,17,21,20
22,15,12,17,21,20
22,17,15,12,21,20
22,15,14,10,18,20
22,12,11,10,18,20
22,17,15,14,18,20
22,21,15,14,18,20
22,12,15,14,18,20
22,15,11,10,18,20
22,21,12,11,15,20
22,17,13,12,15,20
22,17,21,12,15,20
22,21,17,12,15,20
22,23,17,12,15,20
22,12,13,17,15,20
22,21,12,17,15,20
22,12,21,17,15,20
22,17,12,21,15,20
22,23,17,21,15,20
22,12,17,21,15,20
22,17,12,11,15,20
22,12,11,10,14,20
22,12,17,15,14,20
22,17,12,15,14,20
22,21,12,15,14,20
22,12,11,15,14,20
22,17,21,15,14,20
22,12,21,15,14,20
22,21,17,15,14,20
22,23,17,15,14,20
