eventId,eventType,arriveTime,holdTime,endTime,src,dst,consumeKey,isShortPath
0	ARRIVE	0.1	4.26	4.36	11	6	21	true	
1	ARRIVE	0.44	49.57	50.01	6	12	28	true	
2	ARRIVE	0.58	18.33	18.91	6	11	22	true	
3	ARRIVE	1.05	12.4	13.45	11	13	29	true	
4	ARRIVE	1.16	30.02	31.18	8	1	22	true	
5	ARRIVE	1.28	17.91	19.19	10	3	20	true	
6	ARRIVE	1.61	4.2	5.81	9	3	27	true	
7	ARRIVE	1.89	63.64	65.53	6	12	26	true	
8	ARRIVE	2.15	4.01	6.16	3	8	27	true	
9	ARRIVE	2.79	11.31	14.1	7	5	28	true	
10	ARRIVE	2.85	33.64	36.49	5	11	24	true	
11	ARRIVE	3.74	6.44	10.18	8	10	30	true	
12	ARRIVE	3.84	13.6	17.44	9	13	24	true	
13	ARRIVE	3.92	29.9	33.82	3	11	21	true	
14	ARRIVE	3.98	4.52	8.5	2	5	30	true	
15	ARRIVE	4.22	47.53	51.75	12	11	24	true	
16	ARRIVE	4.33	36.67	41.0	2	11	26	true	
17	ARRIVE	4.34	23.25	27.59	3	1	27	true	
18	ARRIVE	4.36	9.55	13.91	12	13	22	true	
0	DEPART	4.36	0.0	4.36	11	6	21	true	
19	ARRIVE	4.67	18.77	23.44	5	9	23	true	
20	ARRIVE	4.95	50.03	54.98	3	10	23	true	
21	ARRIVE	4.98	92.43	97.41	12	7	23	true	
22	ARRIVE	5.08	0.23	5.31	7	11	23	true	
23	ARRIVE	5.11	47.42	52.53	2	7	21	true	
22	DEPART	5.31	0.0	5.31	7	11	23	true	
24	ARRIVE	5.38	4.78	10.16	8	7	21	true	
25	ARRIVE	5.44	57.06	62.5	9	11	22	true	
26	ARRIVE	5.77	29.69	35.46	9	1	21	true	
6	DEPART	5.81	0.0	5.81	9	3	27	true	
27	ARRIVE	5.9	7.84	13.74	6	7	22	true	
28	ARRIVE	6.11	71.57	77.68	2	11	29	true	
8	DEPART	6.16	0.0	6.16	3	8	27	true	
29	ARRIVE	6.21	39.97	46.18	9	1	27	true	
30	ARRIVE	6.31	12.66	18.97	11	7	28	true	
31	ARRIVE	6.37	48.78	55.15	9	1	20	true	
32	ARRIVE	6.81	2.64	9.45	8	11	25	true	
33	ARRIVE	6.98	28.92	35.9	7	11	25	true	
34	ARRIVE	7.3	63.98	71.28	12	9	20	true	
35	ARRIVE	7.31	9.31	16.62	13	3	20	true	
36	ARRIVE	7.85	10.53	18.38	10	5	27	true	
37	ARRIVE	7.89	16.61	24.5	7	12	20	true	
38	ARRIVE	7.91	1.25	9.16	8	10	21	true	
39	ARRIVE	8.12	63.81	71.93	10	13	27	true	
14	DEPART	8.5	0.0	8.5	2	5	30	true	
40	ARRIVE	8.59	59.16	67.75	2	11	29	true	
41	ARRIVE	8.75	85.32	94.07	1	9	26	true	
42	ARRIVE	8.95	11.73	20.68	12	8	24	true	
43	ARRIVE	8.96	11.02	19.98	13	3	26	true	
44	ARRIVE	9.05	9.16	18.21	10	9	29	true	
38	DEPART	9.16	0.0	9.16	8	10	21	true	
32	DEPART	9.45	0.0	9.45	8	11	25	true	
45	ARRIVE	9.52	28.36	37.88	3	1	22	true	
46	ARRIVE	9.6	21.68	31.28	6	7	25	true	
47	ARRIVE	9.81	32.34	42.15	2	13	26	true	
48	ARRIVE	9.86	2.5	12.36	8	5	25	true	
49	ARRIVE	9.89	13.76	23.65	10	3	27	true	
50	ARRIVE	10.1	7.03	17.13	3	10	24	true	
